economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin14a,fin14b,fin14c,fin15,fin16,fin17a,fin17b,fin19,fin20,fin21,fin22a,fin22b,fin22c,fin24,fin25,fin26,fin27a,fin27b,fin27c1,fin27c2,fin28,fin29a,fin29b,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31c,fin32,fin33,fin34a,fin34b,fin34c1,fin34c2,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c1,fin39c2,fin40,fin41,fin42,fin43a,fin43b,fin43c1,fin43c2,fin44,fin45,fin46,fin47a,fin47b,fin47c1,fin47c2,fin47c3,fin47c4,fin47c5,mobileowner,fin48,account_fin,account_mob,account,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,pay_onlne,pay_onlne_mobintbuy,pay_cash,pay_cash_mobintbuy
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,160892278,1.99265673783684,1,23.0,1.0,2,1.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2,,1,1,2,2.0,2,2,2,2,2,,1,3.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,2,,,,1,2.0,2.0,2.0,1.0,2.0,,,2,2,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,0,0.0,0,1,0,2,4,4,4.0,4,3.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,159927989,2.61434462536248,1,17.0,1.0,1,0.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,0,0,4,4,4,4.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,125194437,0.726415099562394,2,18.0,2.0,5,0.0,2,,,,,2,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,1.0,2.0,2.0,1.0,2.0,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,0,0,4,4,4,4.0,4,3.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,195134026,1.03960499047699,1,41.0,1.0,1,1.0,2,,,,,2,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2,2,,2,1,2,2.0,2,2,1,1,2,,1,5.0,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,2.0,,0,0.0,0,1,1,4,4,4,2.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,174255106,0.606476911359766,2,45.0,3.0,5,1.0,2,,,1.0,2.0,2,,1.0,2.0,,,,,,,,,2,2,,1,1,1,2.0,1,2,2,1,2,,1,3.0,2.0,,,,,2.0,,,,,1,1.0,2.0,,2,,,,,,,,2,2,,,,,,,1.0,1.0,2.0,,,2.0,,,,,,,,,,1.0,,1,0.0,1,1,1,4,4,4,1.0,1,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,189819578,0.884767039515206,2,36.0,1.0,1,1.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2,2,,1,1,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,1,0,4,4,4,4.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,133141694,1.7430388346147,2,34.0,1.0,4,0.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2,1,2.0,1,1,2,2.0,2,1,2,2,1,,1,3.0,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,1,2,2.0,2.0,1.0,2.0,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,1,1,4,2,4,4.0,2,5.0,0.0,0.0,1.0,1.0
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,114809074,1.1528941298609,2,69.0,2.0,4,0.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,0,0,4,4,4,4.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,146877410,0.467835014813598,1,43.0,3.0,5,1.0,2,,,,,2,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,1,3.0,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,1,2.0,2.0,2.0,1.0,2.0,,,2,2,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,0,0.0,0,0,0,2,4,4,4.0,2,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,196856431,1.67573030559551,1,58.0,2.0,2,0.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,0,0,4,4,4,4.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,139097246,0.601663679166069,1,30.0,3.0,5,1.0,1,1.0,1.0,1.0,1.0,2,,1.0,1.0,,,,,,,,,1,1,1.0,2,1,2,2.0,2,2,2,1,1,,1,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1,1.0,1.0,,1,1.0,1.0,2.0,,,2.0,,2,2,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1,0.0,1,1,1,1,4,4,4.0,1,1.0,1.0,1.0,0.0,0.0
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,140646753,0.348510017410038,1,77.0,1.0,3,0.0,2,,,,,2,,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,1,2.0,2.0,1.0,2.0,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,0,0,4,4,2,4.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,198808167,1.1979917373404,1,87.0,1.0,1,1.0,2,,,,,2,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,1,1,2.0,2.0,1.0,2.0,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,0,0.0,0,0,0,4,2,2,2.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,184785912,1.02063193614578,1,46.0,1.0,1,1.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,1,,1,3.0,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,0,1,4,4,4,4.0,2,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,165034104,0.299497934335099,1,69.0,1.0,1,1.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2,,2,1,2,2.0,2,1,2,2,2,,1,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,1.0,1,2.0,2.0,2.0,1.0,2.0,,,1,2,2.0,2.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,2.0,,0,0.0,0,1,1,2,2,4,4.0,2,2.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,184589994,0.958368520315756,2,19.0,2.0,4,1.0,1,1.0,2.0,2.0,2.0,2,,1.0,1.0,,,,,,,,,1,2,,2,2,2,2.0,2,1,2,2,1,,1,4.0,2.0,,,,,2.0,,,,,2,,,,1,2.0,1.0,2.0,,,1.0,1.0,2,2,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1,0.0,1,1,1,1,4,4,4.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,197815626,2.61434462536248,1,48.0,1.0,2,1.0,2,,,,,2,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,0,0.0,0,1,0,4,4,4,4.0,2,5.0,0.0,,0.0,
