,economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin14a,fin14b,fin14c,fin15,fin16,fin17a,fin17b,fin19,fin20,fin21,fin22a,fin22b,fin22c,fin24,fin25,fin26,fin27a,fin27b,fin27c1,fin27c2,fin28,fin29a,fin29b,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31c,fin32,fin33,fin34a,fin34b,fin34c1,fin34c2,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c1,fin39c2,fin40,fin41,fin42,fin43a,fin43b,fin43c1,fin43c2,fin44,fin45,fin46,fin47a,fin47b,fin47c1,fin47c2,fin47c3,fin47c4,fin47c5,mobileowner,fin48,account_fin,account_mob,account,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,pay_onlne,pay_onlne_mobintbuy,pay_cash,pay_cash_mobintbuy,% deviation from mean age
114602,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,184992940,1.52067881819774,2,37.0,1.0,1,0.0,2,,,,,2,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2,2,,2,2,2,1.0,2,1,2,2,2,2.0,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,1,2,2.0,2.0,1.0,2.0,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,1,1,4,2,4,4.0,2,5.0,0.0,,0.0,,8.583288036764333
114603,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,160611681,0.828065030797342,2,37.0,1.0,3,1.0,2,,,,,2,,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2,1,2.0,1,2,2,2.0,2,2,1,1,2,,1,1.0,1.0,2.0,1.0,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,0,0.0,0,1,1,4,4,4,4.0,4,2.0,0.0,0.0,1.0,1.0,8.583288036764333
114604,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,191702085,0.413825554760111,1,79.0,3.0,5,1.0,1,1.0,2.0,2.0,2.0,2,,1.0,1.0,,,,,,,,,2,2,,2,1,2,2.0,2,2,2,2,2,,1,6.0,2.0,,,,,1.0,1.0,2.0,,,1,2.0,2.0,1.0,2,,,,,,,,1,1,1.0,2.0,,,1.0,1.0,2.0,,,,,,,2.0,,,,,,,,1.0,,1,0.0,1,1,0,4,1,1,4.0,2,1.0,0.0,,0.0,,95.18703365123291
114605,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,151681294,1.09091549403227,2,42.0,2.0,2,1.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2,2,,1,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,1,2,2.0,2.0,2.0,1.0,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,,1,0.0,1,1,0,4,1,4,2.0,2,5.0,0.0,,0.0,,3.7703216879972414
114606,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,143101832,0.389814670797586,1,25.0,2.0,5,1.0,2,,,2.0,2.0,2,,1.0,2.0,,,,,,,,,2,2,,2,2,2,2.0,2,1,2,2,1,,1,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,1.0,1,2.0,1.0,2.0,,,2.0,,2,2,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1,0.0,1,1,1,1,4,4,4.0,2,3.0,0.0,,0.0,,38.231951376192114
114607,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,124966171,0.576026788278052,1,69.0,2.0,5,0.0,1,1.0,2.0,2.0,2.0,2,,2.0,1.0,,,,,,,,,2,2,,2,2,2,2.0,2,2,2,2,2,,1,3.0,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,1,1.0,2.0,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,1,0.0,1,0,0,4,4,1,4.0,4,5.0,0.0,,0.0,,70.47981420170976
114608,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,200196757,0.610293996149468,1,53.0,2.0,3,0.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,0,0,4,4,4,4.0,2,5.0,0.0,,0.0,,30.94826308247271
114609,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,184531599,0.367187460104682,1,40.0,2.0,1,1.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,1,,2,,2.0,,,,,1.0,1.0,2.0,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,0,0.0,0,0,1,4,4,4,4.0,2,2.0,0.0,,0.0,,1.1711222019073892
114610,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,138090681,0.39989390503951,1,40.0,2.0,2,1.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2,1,2.0,2,2,2,2.0,2,2,2,2,2,,2,,1.0,2.0,2.0,2.0,1.0,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,0,1,4,4,4,4.0,4,2.0,0.0,0.0,1.0,1.0,1.1711222019073892
114611,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,185771074,0.389814670797586,1,29.0,2.0,4,1.0,2,,,,,2,,,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2,2,,1,1,2,1.0,2,2,1,2,1,1.0,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,1,1,4,4,4,4.0,4,5.0,0.0,,0.0,,28.349063596382855
